feature,fscore
holidays_lastweek,0.0001464478039105748
holidays_nextweek,0.00024059282071023
StateHoliday,0.0025558628634869364
Promo2,0.003766498042481021
Assortment,0.006405347994850616
SchoolHoliday,0.008464683066031223
StoreType,0.00868574951288671
IsPromoMonth,0.00928758024990969
Promo,0.013178907610962106
DayOfWeek,0.02067006146623541
Year,0.024282440629362925
holidays_thisweek,0.025666721061565263
Month,0.030809131090310873
medianCustomers,0.031621567716767156
medianCustsPerDow,0.03476112968441196
Store,0.04062531817528826
AvgCustomers,0.04364493241782535
CompetitionDistance,0.044452487450817944
AvgCustsPerDow,0.045550148609652445
AvgSalesPerCustomer,0.04951260776117571
medianSalesPerDow,0.05170862744933952
AvgSales,0.05624293040660884
WeekOfYear,0.058478002842482134
AvgSalesPerDow,0.06102201040755727
PromoOpenInMonth,0.07476857760129656
DayOfMonth,0.08122343890127884
DayOfYear,0.08417680294680877
CompetitionOpenInMonth,0.08805139341598568
