,booster,colsample_bytree,eta,max_depth,objective,seed,silent,subsample,valid_error
0,gbtree,0.5,0.03,6,reg:linear,1301,1,0.7000000000000001,0.11470433428377588
1,gbtree,0.6000000000000001,0.03,6,reg:linear,1301,1,0.7000000000000001,0.1136793758444638
10,gbtree,0.5,0.03,7,reg:linear,1301,1,0.9,0.11300610946941367
11,gbtree,0.6000000000000001,0.03,7,reg:linear,1301,1,0.9,0.11232450086005909
12,gbtree,0.5,0.03,8,reg:linear,1301,1,0.7000000000000001,0.11142871772435006
13,gbtree,0.6000000000000001,0.03,8,reg:linear,1301,1,0.7000000000000001,0.11172601304201707
14,gbtree,0.5,0.03,8,reg:linear,1301,1,0.8,0.11229237203212622
15,gbtree,0.6000000000000001,0.03,8,reg:linear,1301,1,0.8,0.1123415680975626
16,gbtree,0.5,0.03,8,reg:linear,1301,1,0.9,0.11241637005986078
17,gbtree,0.6000000000000001,0.03,8,reg:linear,1301,1,0.9,0.11256084600318418
18,gbtree,0.5,0.03,9,reg:linear,1301,1,0.7000000000000001,0.11053280361237114
19,gbtree,0.6000000000000001,0.03,9,reg:linear,1301,1,0.7000000000000001,0.111411544776854
2,gbtree,0.5,0.03,6,reg:linear,1301,1,0.8,0.11527992042652621
20,gbtree,0.5,0.03,9,reg:linear,1301,1,0.8,0.1114611183914056
21,gbtree,0.6000000000000001,0.03,9,reg:linear,1301,1,0.8,0.11116667764289495
22,gbtree,0.5,0.03,9,reg:linear,1301,1,0.9,0.11129069542798534
23,gbtree,0.6000000000000001,0.03,9,reg:linear,1301,1,0.9,0.11223111900670515
24,gbtree,0.5,0.03,10,reg:linear,1301,1,0.7000000000000001,0.11033382880776796
25,gbtree,0.6000000000000001,0.03,10,reg:linear,1301,1,0.7000000000000001,0.11105271956012407
26,gbtree,0.5,0.03,10,reg:linear,1301,1,0.8,0.11054249342759012
27,gbtree,0.6000000000000001,0.03,10,reg:linear,1301,1,0.8,0.11184427707426141
28,gbtree,0.5,0.03,10,reg:linear,1301,1,0.9,0.11080018144153804
29,gbtree,0.6000000000000001,0.03,10,reg:linear,1301,1,0.9,0.11191918980176795
3,gbtree,0.6000000000000001,0.03,6,reg:linear,1301,1,0.8,0.11353528717247408
4,gbtree,0.5,0.03,6,reg:linear,1301,1,0.9,0.1148300235645414
5,gbtree,0.6000000000000001,0.03,6,reg:linear,1301,1,0.9,0.11380893924701777
6,gbtree,0.5,0.03,7,reg:linear,1301,1,0.7000000000000001,0.11226234416726556
7,gbtree,0.6000000000000001,0.03,7,reg:linear,1301,1,0.7000000000000001,0.11253717637093494
8,gbtree,0.5,0.03,7,reg:linear,1301,1,0.8,0.11354348829072036
9,gbtree,0.6000000000000001,0.03,7,reg:linear,1301,1,0.8,0.11284144558055249
